Av. do Contorno entre Gutierrez e Savassi, Sab f, 17h-18h, 3
Av. do Contorno entre Gutierrez e Savassi, Sab f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 21
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 13
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 45
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 41
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 18
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 1
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 70
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 63
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 36
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 5
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 3
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 8
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 19
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 59
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 105
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 12
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 7
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 6
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 8
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 24
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 57
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 95
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 35
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 11
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 24
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 53
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 48
